gameID,Time,season,homeGoals,awayGoals,temp,dewPointC,humidity,windSpeedKPH,weather,HTGoalsHome,HTGoalsAway
312,23:45:00,2015,2,0,7.67,-2.14,50,15.56,Partly Cloudy,0,0
313,23:45:00,2015,0,3,10.46,8.72,89,30.64,Partly Cloudy,0,2
314,23:45:00,2015,0,1,6.61,1.1,68,25.93,Mostly Clear,0,1
315,23:45:00,2015,2,0,10.01,4.18,67,13.89,Partly Cloudy,0,0
316,00:00:00,2015,1,2,7.18,3.97,80,12.04,Rain Showers,1,1
317,00:00:00,2015,3,0,5.23,2.21,81,7.94,Mostly Cloudy,2,0
318,00:00:00,2015,1,1,3.47,2.3,92,9.37,Rain Showers,0,0
319,23:45:00,2015,3,0,3.64,0.17,78,13.47,Mostly Cloudy,1,0
320,23:45:00,2015,0,0,7.83,5.22,84,12.96,Rain Showers,0,0
321,16:45:00,2015,1,3,19.08,7.55,47,8.52,Mostly Sunny,0,1
322,19:00:00,2015,1,0,10.69,5.46,70,17.65,Partly Cloudy,1,0
323,19:00:00,2015,0,3,13.03,9.07,77,5.56,Mostly Sunny,0,3
324,19:00:00,2015,1,0,11.48,8.84,84,9.26,Cloudy,0,0
325,19:00:00,2015,1,1,17.92,12,68,5.56,Sunny,1,0
326,19:00:00,2015,2,0,12.37,8.24,76,16.63,Partly Cloudy,1,0
327,19:00:00,2015,2,2,15.96,8.66,62,11.11,Mostly Sunny,0,0
328,21:30:00,2015,1,0,11.19,6.13,71,7.41,Mostly Cloudy,1,0
329,17:30:00,2015,0,2,20.01,9.6,51,12.96,Partly Cloudy,0,2
330,20:00:00,2015,1,1,16.94,9.12,60,7.53,Partly Cloudy,0,0
331,16:45:00,2015,2,1,2.25,0.1,86,13.89,Clear,1,1
332,19:00:00,2015,0,1,-0.13,-2.02,87,9.26,Clear,0,0
333,19:00:00,2015,2,2,-0.17,-1.06,94,12.23,Mostly Clear,0,0
334,19:00:00,2015,0,1,2.55,-4.16,61,6.48,Clear,0,1
335,19:00:00,2015,1,2,-0.28,-2.1,87,12.96,Clear,1,1
336,19:00:00,2015,1,3,1.08,-2.45,77,9.26,Clear,0,1
337,21:30:00,2015,5,1,-1.59,-2.49,94,11.11,Clear,3,0
338,16:00:00,2015,2,1,11.58,9.2,85,15.74,Rain Showers,0,1
339,18:05:00,2015,0,6,10.78,8.22,84,31.48,Mostly Cloudy,0,2
340,20:15:00,2015,1,2,11.19,7.2,76,21.3,Rain Showers,0,0
341,16:45:00,2015,1,0,-1.08,-2.18,92,12.04,Snow Showers,1,0
342,19:00:00,2015,0,0,-1.16,-1.95,94,12.04,Snow Showers,0,0
343,19:00:00,2015,1,0,-3.35,-4.77,90,20.22,Snow Showers,0,0
344,19:00:00,2015,1,2,-0.89,-4.35,77,13.89,Rain Showers,1,0
345,19:00:00,2015,2,1,-1.75,-3.81,86,15.74,Snow Showers,0,0
346,21:30:00,2015,3,2,-3.19,-3.55,97,14.82,Light Snow,3,0
347,18:05:00,2015,2,1,10.36,8.75,90,9.26,Cloudy,0,1
